X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
Luka Milivojević,79,CDM,Non-Rare,650,2,2,M \ H,54,67,76,68,77,82,"186cm | 6'1""
                                                                              High & Average  (80kg)",19,424,2088
Taras Stepanenko,79,CDM,Non-Rare,700,3,3,M \ H,67,61,71,69,79,79,"181cm | 5'11""
                                                                              Average  (80kg)",21,426,2028
Matheus Lima Magalhães,79,GK,Non-Rare,1.6K,1,3,M \ M,82,75,72,83,45,77,"190cm | 6'3""
                                                                              High & Average  (84kg)",34,434,897
Gabriel Appelt Pires,79,CM,Rare,1K,3,5,M \ H,63,74,77,79,77,83,"187cm | 6'2""
                                                                              High & Stocky  (82kg)",106,453,2186
Emil Forsberg,79,CAM,Rare,1K,4,4,M \ M,70,71,81,81,32,61,"177cm | 5'10""
                                                                              Average  (76kg)",45,396,1919
Munas Dabbur,79,ST,Non-Rare,650,4,4,M \ L,70,78,66,79,32,69,"182cm | 6'0""
                                                                              Average  (76kg)",-4,394,1927
Omar Mascarell González,79,CDM,Rare,1K,3,5,L \ M,63,61,72,77,75,73,"181cm | 5'11""
                                                                              Lean  (76kg)",50,421,2025
Samuel Castillejo Azuaga,79,RM,Non-Rare,2.7K,4,2,M \ H,81,73,78,81,43,52,"182cm | 6'0""
                                                                              Lean  (67kg)",6,408,1939
Kevin Mbabu,79,RB,Rare,1.4K,3,3,H \ M,89,51,69,73,74,81,"184cm | 6'0""
                                                                              Average  (83kg)",1017,437,2003
Emerson Palmieri dos Santos,79,LB,Non-Rare,2.5K,3,2,H \ M,81,63,70,78,75,64,"176cm | 5'9""
                                                                              Lean  (79kg)",44,431,2044
Morgan Sanson,79,CM,Rare,2.5K,4,4,H \ H,73,75,79,78,72,78,"180cm | 5'11""
                                                                              Average  (73kg)",106,455,2182
Rubén García Santos,79,LM,Non-Rare,700,4,2,H \ M,78,76,79,79,38,57,"171cm | 5'7""
                                                                              Average  (71kg)",22,407,1965
Valentino Lazaro,79,RM,Non-Rare,2.3K,4,3,H \ H,82,70,76,80,69,67,"180cm | 5'11""
                                                                              Lean  (76kg)",73,444,2098
Pierluigi Gollini,79,GK,Non-Rare,600,1,2,M \ M,81,75,69,81,47,79,"194cm | 6'4""
                                                                              High & Average+  (94kg)",25,432,918
André Filipe Tavares Gomes,79,CM,Non-Rare,850,4,4,M \ M,60,69,78,77,70,76,"188cm | 6'2""
                                                                              High & Average+  (84kg)",36,430,2068
Philipp Max,79,LB,Rare,1K,3,3,H \ M,81,67,78,75,71,72,"177cm | 5'10""
                                                                              Average  (77kg)",168,444,2081
Jonathan Tah,79,CB,Rare,1.5K,2,4,M \ M,66,27,57,58,80,81,"195cm | 6'5""
                                                                              High & Stocky  (97kg)",47,369,1660
Ricardo Jorge da Luz Horta,79,LW,Non-Rare,700,3,3,M \ M,78,77,76,81,42,58,"173cm | 5'8""
                                                                              Lean  (63kg)",22,412,2023
Abderrazak Hamdallah,79,ST,Rare,950,3,3,M \ L,76,80,69,75,30,75,"179cm | 5'10""
                                                                              Average  (81kg)",69,405,1971
Alexey Miranchuk,79,CAM,Rare,1K,3,2,H \ M,75,70,78,80,31,62,"182cm | 6'0""
                                                                              Lean  (74kg)",93,396,1917
Darío Benedetto,79,ST,Rare,1K,3,5,H \ L,77,80,67,76,38,75,"177cm | 5'10""
                                                                              Average  (80kg)",76,413,1994
Ayoze Pérez Gutiérrez,79,RW,Non-Rare,700,4,4,H \ H,78,75,71,82,58,66,"178cm | 5'10""
                                                                              Lean  (72kg)",50,430,2075
Armando Izzo,79,CB,Non-Rare,1.6K,2,4,M \ M,65,33,48,65,82,74,"183cm | 6'0""
                                                                              Average  (78kg)",8,367,1691
Daniel García Carrillo,79,CM,Rare,1K,3,3,L \ H,48,69,73,75,79,83,"180cm | 5'11""
                                                                              Average  (80kg)",30,427,2052
José Luis Morales Nogales,79,ST,Rare,1.1K,4,4,H \ M,86,78,75,83,58,68,"180cm | 5'11""
                                                                              Lean  (70kg)",357,448,2126
João Paulo Dias Fernandes,79,ST,Non-Rare,4.2K,3,4,H \ M,67,78,64,75,45,81,"187cm | 6'2""
                                                                              High & Average  (82kg)",29,410,1964
Léo Dubois,79,RB,Non-Rare,1.2K,3,4,M \ M,72,61,75,75,76,73,"178cm | 5'10""
                                                                              Lean  (73kg)",31,432,2070
Hamari Traoré,79,RB,Rare,1.1K,3,3,H \ M,82,54,72,76,73,76,"175cm | 5'9""
                                                                              Average  (71kg)",71,433,2032
Baptiste Santamaria,79,CDM,Non-Rare,0,3,2,M \ M,60,64,73,76,75,74,"183cm | 6'0""
                                                                              Lean  (73kg)",4,422,1978
Tiemoué Bakayoko,79,CDM,Rare,5.4K,3,3,M \ M,64,48,68,75,77,84,"189cm | 6'2""
                                                                              High & Average  (85kg)",101,416,1926
Joseba Zaldúa Bengoetxea,79,RB,Non-Rare,700,2,3,M \ M,69,34,67,66,78,76,"176cm | 5'9""
                                                                              Average  (69kg)",18,390,1837
Jason Denayer,79,CB,Rare,2.4K,2,3,M \ H,75,42,63,69,79,80,"184cm | 6'0""
                                                                              Average  (80kg)",135,408,1859
Munir El Haddadi,79,ST,Rare,1K,4,3,H \ L,80,78,75,82,35,66,"175cm | 5'9""
                                                                              Lean  (69kg)",52,416,1993
Dominic Calvert-Lewin,79,ST,Rare,1.4K,3,3,H \ M,83,76,63,75,38,80,"187cm | 6'2""
                                                                              High & Average+  (71kg)",296,415,1956
Julian Weigl,79,CDM,Non-Rare,700,3,3,M \ M,59,48,75,76,77,66,"186cm | 6'1""
                                                                              High & Average+  (72kg)",26,401,1945
Petros Matheus dos Santos Araujo,79,CDM,Non-Rare,700,3,3,M \ M,68,67,73,76,74,77,"182cm | 6'0""
                                                                              Average  (78kg)",17,435,2040
Jaime Mata Arnaiz,79,ST,Non-Rare,750,3,3,H \ M,69,80,61,76,31,76,"185cm | 6'1""
                                                                              High & Average  (79kg)",16,393,1864
Borja Iglesias Quintas,79,ST,Rare,1K,3,3,H \ M,66,78,64,74,35,80,"187cm | 6'2""
                                                                              High & Average+  (86kg)",78,397,1871
Ramy Bensebaini,79,LB,Non-Rare,1K,3,3,M \ M,69,57,71,74,77,80,"186cm | 6'1""
                                                                              High & Average  (82kg)",44,428,2026
Joan Jordán Moreno,79,CM,Non-Rare,1.9K,4,4,M \ M,65,75,79,77,67,75,"183cm | 6'0""
                                                                              Lean  (74kg)",-3,438,2077
Eric Bailly,79,CB,Rare,1.4K,3,3,M \ H,74,42,58,63,79,79,"186cm | 6'1""
                                                                              High & Average  (77kg)",423,395,1847
Alexandr Golovin,79,CM,Rare,1.2K,4,4,H \ M,80,72,79,83,67,68,"180cm | 5'11""
                                                                              Lean  (69kg)",137,449,2146
Pablo Fornals Malla,79,LM,Non-Rare,700,4,3,H \ H,68,76,78,79,70,67,"178cm | 5'10""
                                                                              Lean  (67kg)",33,438,2084
Rodrigo Bentancur,79,CM,Rare,1K,4,4,M \ M,72,58,79,81,73,73,"187cm | 6'2""
                                                                              High & Average+  (78kg)",32,436,2085
Moussa Marega,79,ST,Rare,1K,3,3,H \ M,89,79,62,65,41,90,"186cm | 6'1""
                                                                              High & Stocky  (83kg)",198,426,1950
Sander Berge,79,CDM,Rare,1.1K,3,3,M \ H,68,49,74,74,76,85,"195cm | 6'5""
                                                                              High & Average  (96kg)",78,426,1986
Lorenzo Pellegrini,79,CAM,Rare,1K,3,3,M \ M,75,71,81,77,72,69,"186cm | 6'1""
                                                                              High & Average  (77kg)",27,445,2128
Ezequiel Ávila,79,ST,Rare,1K,3,5,H \ H,82,81,65,78,48,83,"172cm | 5'8""
                                                                              Stocky  (81kg)",233,437,2049
Kasper Dolberg,79,ST,Non-Rare,700,3,4,H \ M,73,81,69,77,29,67,"187cm | 6'2""
                                                                              High & Average  (84kg)",31,396,1902
André Miguel Valente da Silva,79,ST,Non-Rare,950,4,3,M \ M,71,79,64,79,43,75,"184cm | 6'0""
                                                                              Average  (78kg)",71,411,1989
Milot Rashica,79,CF,Rare,1K,4,4,H \ M,88,79,74,83,46,65,"177cm | 5'10""
                                                                              Average  (73kg)",888,435,2060
Igor Zubeldia Elorza,79,CDM,Non-Rare,750,3,3,M \ M,65,67,76,72,75,80,"181cm | 5'11""
                                                                              Average  (73kg)",14,435,2074
Álvaro Odriozola Arzalluz,79,RB,Non-Rare,3.4K,3,3,H \ M,78,52,71,76,75,65,"176cm | 5'9""
                                                                              Lean  (66kg)",-8,417,1979
Carlos Soler Barragán,79,RM,Non-Rare,2K,3,4,M \ M,79,74,79,78,62,70,"180cm | 5'11""
                                                                              Lean  (76kg)",42,442,2094
Jonathan Ikoné,79,RM,Rare,2.5K,4,3,H \ M,89,70,73,83,33,60,"175cm | 5'9""
                                                                              Average  (73kg)",216,408,1924
Édouard Mendy,79,GK,Non-Rare,0,1,2,M \ M,80,77,75,79,35,79,"197cm | 6'6""
                                                                              High & Average+  (86kg)",50,425,742
Florian Neuhaus,79,CM,Non-Rare,1.2K,3,4,M \ M,67,69,76,81,64,67,"183cm | 6'0""
                                                                              Lean  (74kg)",35,424,2015
Scott McTominay,79,CDM,Rare,1.1K,3,3,H \ H,68,71,75,76,76,84,"193cm | 6'4""
                                                                              High & Average  (88kg)",413,450,2123
Marcus Wendel Valle da Silva,79,CM,Rare,15.5K,3,3,H \ M,78,75,77,80,73,71,"180cm | 5'11""
                                                                              Average  (73kg)",112,454,2148
Nemanja Maksimović,79,CDM,Non-Rare,800,3,3,H \ H,60,68,75,71,77,78,"189cm | 6'2""
                                                                              High & Average  (78kg)",17,429,2053
Youcef Atal,79,RB,Rare,1.2K,4,5,H \ M,91,70,72,81,72,72,"175cm | 5'9""
                                                                              Lean  (66kg)",469,458,2131
Héctor Junior Firpo Adamés,79,LB,Non-Rare,2.3K,3,3,M \ M,83,64,71,73,75,76,"184cm | 6'0""
                                                                              Lean  (78kg)",68,442,2038
Predrag Rajković,79,GK,Non-Rare,650,1,2,M \ M,78,77,74,81,25,79,"191cm | 6'3""
                                                                              High & Average  (85kg)",4,414,685
Aluísio Chaves Rib. Moraes Júnior,79,ST,Non-Rare,700,3,4,H \ M,79,80,57,77,27,68,"176cm | 5'9""
                                                                              Average  (74kg)",17,388,1805
Daniel Olmo Carvajal,79,CAM,Rare,1K,4,4,H \ M,68,76,77,82,50,62,"179cm | 5'10""
                                                                              Lean  (68kg)",-16,415,2029
Carlos Vinícius Alves Morais,79,ST,Non-Rare,10K,3,3,H \ M,75,80,57,75,41,83,"190cm | 6'3""
                                                                              High & Average  (83kg)",62,411,1885
Baptiste Santamaria,79,CDM,Non-Rare,700,3,2,M \ M,60,64,73,76,75,74,"183cm | 6'0""
                                                                              Lean  (73kg)",29,422,1978
Édouard Mendy,79,GK,Non-Rare,600,1,2,M \ M,80,77,75,79,35,79,"197cm | 6'6""
                                                                              High & Average+  (86kg)",308,425,742
Pervis Estupiñán,79,LB,Non-Rare,1.1K,2,3,H \ M,83,32,66,72,74,75,"175cm | 5'9""
                                                                              Average  (73kg)",50,402,1846
Yann M'Vila,79,CDM,Non-Rare,1K,3,3,M \ M,65,62,74,74,75,77,"182cm | 6'0""
                                                                              Average  (80kg)",15,427,2051
Nicolás Otamendi,79,CB,Non-Rare,1.5K,2,3,M \ H,54,57,61,59,80,78,"183cm | 6'0""
                                                                              Average  (81kg)",20,389,1883
Carlos Vinícius Alves Morais,79,ST,non-rare,800,3,3,H \ M,75,80,57,75,41,83,"190cm | 6'3""
                                                                              High & Average  (83kg)",117,411,1885
Rafael Alcântara,79,CM,Rare,1.3K,4,4,H \ M,69,76,79,83,68,61,"174cm | 5'9""
                                                                              Average  (71kg)",55,436,2105
Chris Smalling,79,CB,Rare,3.5K,2,3,M \ H,68,47,58,59,81,81,"194cm | 6'4""
                                                                              High & Average+  (81kg)",99,394,1796
Diego Perotti,79,LM,Rare,1.1K,4,4,M \ M,74,71,77,85,42,54,"179cm | 5'10""
                                                                              Average  (70kg)",88,403,1945
Sven Ulreich,79,GK,non-rare,700,1,2,M \ M,79,71,68,84,41,79,"192cm | 6'4""
                                                                              High & Average+  (87kg)",69,422,846
Tiemoué Bakayoko,79,CDM,Rare,1K,3,3,M \ M,64,48,68,75,77,84,"189cm | 6'2""
                                                                              High & Average  (85kg)",113,416,1926
Geoffrey Kondogbia,79,CM,Rare,1.4K,4,2,H \ M,69,74,75,77,79,88,"188cm | 6'2""
                                                                              High & Average+  (80kg)",313,462,2175
Fraser,79,LM,Rare,1K,3,4,H \ M,88,72,76,82,46,60,"163cm | 5'4""
                                                                              Short and Balanced   (70kg)",196,424,2022
Stephan El Shaarawy,79,LW,Rare,1K,5,3,M \ M,86,77,76,78,46,64,"178cm | 5'10""
                                                                              Lean  (73kg)",270,427,2040
Morgan Sanson,79,CM,Rare,1.2K,4,4,H \ H,73,75,79,78,72,78,"180cm | 5'11""
                                                                              Average  (73kg)",90,455,2182
João Paulo Dias Fernandes,79,ST,non-rare,800,3,4,H \ M,67,78,64,75,45,81,"187cm | 6'2""
                                                                              High & Average  (82kg)",20,410,1964
Kenny Lala,79,RWB,Rare,1K,3,3,H \ M,79,63,76,76,73,76,"178cm | 5'10""
                                                                              Average  (78kg)",-121,443,2100
Sokratis Papastathopoulos,79,CB,non-rare,700,2,2,M \ H,67,53,52,60,78,81,"186cm | 6'1""
                                                                              Unique  (84kg)",23,391,1815
Rafinha,79,RB,Rare,1.2K,3,3,M \ M,74,46,74,78,74,65,"172cm | 5'8""
                                                                              Average  (67kg)",162,411,1995
Quaresma,79,RM,Rare,1.6K,4,4,H \ L,74,72,81,84,24,60,"175cm | 5'9""
                                                                              Average  (67kg)",480,395,1947
Eric Dier,78,CDM,Rare,1.1K,2,2,M \ H,53,63,70,65,80,83,"190cm | 6'3""
                                                                              High & Stocky  (90kg)",62,414,1997
Bruno Guimarães Moura,78,CM,Rare,1K,3,3,M \ M,69,64,77,78,74,73,"182cm | 6'0""
                                                                              Average  (78kg)",112,435,2081
Mateo Musacchio,78,CB,Non-Rare,2.1K,3,3,M \ M,63,47,63,67,82,70,"180cm | 5'11""
                                                                              Average  (73kg)",8,392,1891
Manuel Akanji,78,CB,Rare,1.3K,2,3,M \ M,77,46,66,71,80,76,"187cm | 6'2""
                                                                              High & Average  (91kg)",144,416,1898
Marwin Hitz,78,GK,Non-Rare,650,1,3,M \ M,79,77,63,80,43,79,"194cm | 6'4""
                                                                              High & Average  (89kg)",19,421,869
Ruben Loftus-Cheek,78,CM,Non-Rare,8.2K,4,3,H \ M,69,67,76,80,62,79,"191cm | 6'3""
                                                                              High & Average  (88kg)",2,433,1999
Ross Barkley,78,CM,Rare,8.9K,4,5,M \ M,70,74,78,80,57,73,"186cm | 6'1""
                                                                              High & Average  (87kg)",22,432,2040
Abdou Diallo,78,CB,Rare,2.4K,3,3,M \ M,75,38,71,76,78,76,"187cm | 6'2""
                                                                              High & Average+  (79kg)",100,414,1935
Stefano Sensi,78,CM,Non-Rare,850,3,4,M \ M,67,59,80,80,67,67,"168cm | 5'6""
                                                                              Short & Lean-  (62kg)",26,420,2069
Antonio Candreva,78,RM,Rare,10.75K,4,4,M \ M,72,78,77,79,61,65,"180cm | 5'11""
                                                                              Average  (70kg)",22,432,2073
Tapsoba,78,CB,Rare,1.4K,2,3,M \ H,74,52,63,63,78,78,"192cm | 6'4""
                                                                              High & Average+  (78kg)",166,408,1873
Luís Manuel Arantes Maximiano,78,GK,Non-Rare,700,1,2,M \ M,79,76,65,79,55,76,"190cm | 6'3""
                                                                              High & Average  (82kg)",31,430,852
Ignacio Piatti,78,LW,Rare,4K,5,4,H \ M,68,79,74,81,54,72,"180cm | 5'11""
                                                                              Lean  (76kg)",40,428,2022
Ismaïla Sarr,78,RM,Rare,1K,4,2,H \ M,94,77,68,80,22,66,"185cm | 6'1""
                                                                              High & Average+  (76kg)",195,407,1873
Jonathan Rodríguez,78,ST,Rare,1K,4,3,H \ M,87,77,68,80,37,76,"177cm | 5'10""
                                                                              Average  (79kg)",93,425,1999
Rogelio Funes Mori,78,ST,Non-Rare,600,3,4,H \ M,77,77,68,74,43,80,"186cm | 6'1""
                                                                              High & Average+  (78kg)",13,419,2007
Ángel Mena,78,RM,Non-Rare,650,4,4,H \ M,81,72,73,80,44,49,"168cm | 5'6""
                                                                              Short & Lean  (71kg)",31,399,1922
Rafael Carioca,78,CDM,Non-Rare,700,3,3,M \ M,70,66,77,75,73,73,"181cm | 5'11""
                                                                              Average  (78kg)",12,434,2081
Celso Ortíz,78,CDM,Non-Rare,700,3,2,M \ H,64,55,69,72,75,77,"174cm | 5'9""
                                                                              Average  (74kg)",11,412,1938
Luis Rodríguez,78,RB,Non-Rare,700,3,2,H \ H,84,64,72,75,72,77,"177cm | 5'10""
                                                                              Average  (76kg)",32,444,2052
Donyell Malen,78,ST,Rare,1K,4,3,M \ L,90,77,65,81,29,71,"179cm | 5'10""
                                                                              Average  (78kg)",350,413,1926
Teun Koopmeiners,78,CDM,Non-Rare,700,3,2,M \ M,66,69,77,71,76,76,"183cm | 6'0""
                                                                              Average  (77kg)",34,435,2129
Calvin Stengs,78,RW,Non-Rare,800,4,3,M \ L,76,68,76,82,33,58,"187cm | 6'2""
                                                                              High & Average+  (68kg)",29,393,1870
Lisandro Martínez,78,CDM,Non-Rare,700,3,3,M \ H,69,58,72,75,78,79,"175cm | 5'9""
                                                                              Average  (70kg)",65,431,2059
Jonas Svensson,78,RB,Non-Rare,700,3,3,H \ H,77,60,73,75,73,81,"170cm | 5'7""
                                                                              Short and Balanced   (70kg)",26,439,2078
Fredrik Midtsjø,78,CM,Rare,1K,3,3,M \ H,77,63,77,77,70,77,"176cm | 5'9""
                                                                              Average  (70kg)",77,441,2073
Camilo Vargas,78,GK,Non-Rare,600,1,3,M \ M,77,74,69,81,44,76,"185cm | 6'1""
                                                                              High & Average+  (77kg)",15,421,950
Miguel Almirón,78,CAM,Rare,1.1K,4,2,H \ H,89,71,75,80,50,63,"174cm | 5'9""
                                                                              Lean  (63kg)",199,428,2013
Daniel Podence,78,LW,Rare,1.3K,4,4,H \ M,92,60,71,85,33,50,"165cm | 5'5""
                                                                              Short & Lean-  (58kg)",224,391,1872
Francisco Mota Castro Trincão,78,RW,Non-Rare,1.9K,4,3,M \ M,79,73,71,83,37,69,"183cm | 6'0""
                                                                              Lean  (77kg)",198,412,1953
Pablo Piatti,78,LM,Non-Rare,2K,3,2,H \ M,83,72,75,79,47,54,"163cm | 5'4""
                                                                              Short & Lean-  (63kg)",12,410,1985
Renato Sanches,78,CM,Rare,1K,4,4,H \ H,79,72,76,81,71,81,"176cm | 5'9""
                                                                              Average  (70kg)",982,460,2190
Jonathan Bamba,78,LM,Rare,1.3K,4,4,H \ H,88,74,70,80,36,64,"175cm | 5'9""
                                                                              Average  (70kg)",297,412,1973
Miguel Ángel Moyá Rumbo,78,GK,Non-Rare,650,1,2,M \ M,82,72,80,78,41,79,"188cm | 6'2""
                                                                              High & Average  (83kg)",19,432,885
Burak Yılmaz,78,ST,Rare,1.5K,3,3,H \ L,80,81,65,69,34,77,"188cm | 6'2""
                                                                              High & Average+  (77kg)",159,406,1944
Antonio Mirante,78,GK,Non-Rare,600,1,2,M \ M,79,78,65,77,44,79,"193cm | 6'4""
                                                                              High & Average+  (79kg)",21,422,908
José Sosa,78,CM,Non-Rare,2K,4,4,M \ M,69,70,82,80,66,65,"179cm | 5'10""
                                                                              Lean  (71kg)",32,432,2105
Andrés Eduardo Fernández Moreno,78,GK,Non-Rare,650,1,3,M \ M,80,75,68,79,57,76,"187cm | 6'2""
                                                                              High & Average  (82kg)",22,435,1008
Jorge Molina Vidal,78,ST,Non-Rare,600,3,4,M \ M,36,82,67,70,42,73,"188cm | 6'2""
                                                                              High & Average  (72kg)",20,370,1807
Mathieu Debuchy,78,RB,Non-Rare,750,3,3,H \ M,67,67,73,75,77,72,"176cm | 5'9""
                                                                              Average  (76kg)",20,431,2094
Tom Heaton,78,GK,Non-Rare,700,1,3,M \ M,78,77,74,79,56,78,"187cm | 6'2""
                                                                              High & Average  (92kg)",16,442,980
Ştefan Radu,78,CB,Non-Rare,1.1K,3,3,M \ H,61,64,65,68,83,69,"183cm | 6'0""
                                                                              Average  (79kg)",6,410,1954
Ryan Bertrand,78,LB,Non-Rare,800,3,3,H \ M,78,53,70,76,76,70,"179cm | 5'10""
                                                                              Average  (85kg)",10,423,1996
Gervais Yao Kouassi,78,LW,Rare,1K,3,3,H \ L,90,70,71,79,35,57,"179cm | 5'10""
                                                                              Lean  (65kg)",195,402,1884
José Miguel da Rocha Fonte,78,CB,Non-Rare,1.1K,2,3,M \ H,32,38,54,60,79,76,"191cm | 6'3""
                                                                              High & Average+  (81kg)",37,339,1635
Andrés Guardado,78,CM,Non-Rare,700,4,2,M \ M,67,69,79,80,71,68,"169cm | 5'7""
                                                                              Short & Lean  (67kg)",24,434,2135
Victor Moses,78,RM,Rare,3.2K,4,4,M \ M,76,69,74,80,73,70,"177cm | 5'10""
                                                                              Average  (77kg)",29,442,2113
Domenico Criscito,78,LB,Non-Rare,1K,3,3,H \ M,73,61,76,71,77,74,"183cm | 6'0""
                                                                              Average  (75kg)",30,432,2088
Cristian Ansaldi,78,LM,Rare,1K,4,5,H \ H,78,64,77,80,76,70,"181cm | 5'11""
                                                                              Average  (76kg)",39,445,2115
Kevin-Prince Boateng,78,CF,Non-Rare,3.8K,4,4,H \ M,64,78,77,80,65,74,"185cm | 6'1""
                                                                              High & Average  (86kg)",18,438,2137
Felipe Caicedo,78,CF,Rare,1K,3,3,H \ M,73,76,71,75,44,80,"183cm | 6'0""
                                                                              Stocky  (82kg)",46,419,1993
Dieumerci Mbokani,78,ST,Non-Rare,600,3,3,H \ M,67,78,67,78,40,74,"185cm | 6'1""
                                                                              High & Average  (73kg)",22,404,1954
Etienne Capoue,78,CDM,Non-Rare,3K,3,3,M \ M,51,71,73,71,77,77,"190cm | 6'3""
                                                                              High & Average+  (87kg)",24,420,2030
Javier Hernández,78,ST,Rare,1K,3,3,M \ L,70,77,64,76,31,61,"175cm | 5'9""
                                                                              Average  (73kg)",212,379,1878
Papakouli Diop,78,CDM,Rare,1K,3,3,M \ M,41,66,68,68,78,85,"179cm | 5'10""
                                                                              Average  (77kg)",36,406,2018
Guilherme Alvim Marinato,78,GK,Non-Rare,600,1,2,M \ M,82,73,72,80,38,78,"195cm | 6'5""
                                                                              High & Average+  (95kg)",18,423,911
Víctor David Díaz Miguel,78,RB,Non-Rare,750,3,3,M \ H,72,56,68,68,74,76,"184cm | 6'0""
                                                                              Lean  (72kg)",11,414,1943
Senad Lulić,78,LM,Rare,1K,3,3,H \ H,77,72,76,77,75,77,"183cm | 6'0""
                                                                              Average  (78kg)",33,454,2154
Manuel Lanzini,78,CAM,Rare,1.1K,4,3,M \ M,76,72,78,82,32,47,"167cm | 5'6""
                                                                              Short & Lean  (59kg)",160,387,1915
Bas Dost,78,ST,Non-Rare,2.4K,2,3,M \ M,47,81,57,65,51,76,"196cm | 6'5""
                                                                              High & Average+  (89kg)",50,377,1791
Ashley Westwood,78,CDM,Non-Rare,700,3,3,M \ M,59,62,79,74,74,76,"174cm | 5'9""
                                                                              Average  (73kg)",15,424,2099
Oscar De Marcos Arana,78,RB,Rare,1K,4,3,H \ M,81,62,73,75,71,78,"182cm | 6'0""
                                                                              Lean  (80kg)",48,440,2077
Michail Antonio,78,ST,Rare,1.6K,4,3,H \ H,85,75,73,77,56,84,"178cm | 5'10""
                                                                              Stocky  (82kg)",351,450,2125
Maicon Pereira Roque,78,CB,Non-Rare,700,2,3,M \ H,53,55,66,55,79,84,"191cm | 6'3""
                                                                              High & Average  (84kg)",-7,392,1871
Alexandr Kokorin,78,ST,Non-Rare,3.1K,4,3,H \ M,81,77,72,81,43,69,"184cm | 6'0""
                                                                              Average  (83kg)",24,423,2033
Chris Wood,78,ST,Non-Rare,1.1K,2,3,H \ M,66,78,59,69,40,81,"191cm | 6'3""
                                                                              High & Average  (92kg)",79,393,1911
Shkodran Mustafi,78,CB,Non-Rare,2K,2,2,M \ H,58,57,63,62,77,77,"184cm | 6'0""
                                                                              Average  (83kg)",92,394,1903
Enda Stevens,78,LWB,Non-Rare,650,3,2,M \ M,75,45,66,74,74,74,"183cm | 6'0""
                                                                              Average  (78kg)",37,408,1872
Iago Herrerín Buisán,78,GK,Rare,1K,1,3,M \ M,80,78,83,74,44,77,"187cm | 6'2""
                                                                              High & Stocky  (89kg)",40,436,934
Ricardo Rodríguez,78,LB,Rare,1K,3,3,M \ M,71,67,76,74,77,74,"180cm | 5'11""
                                                                              Average  (77kg)",95,439,2142
Germán Pezzella,78,CB,Non-Rare,900,2,3,M \ M,54,49,47,57,80,74,"186cm | 6'1""
                                                                              High & Average  (81kg)",13,361,1684
Younès Belhanda,78,CAM,Non-Rare,3.5K,4,4,M \ M,73,73,78,82,57,71,"179cm | 5'10""
                                                                              Average  (75kg)",17,434,2124
Youssef El Arabi,78,ST,Non-Rare,650,3,4,H \ M,71,81,67,77,37,70,"182cm | 6'0""
                                                                              Average  (84kg)",39,403,1972
Víctor Laguardia Cisneros,78,CB,Non-Rare,900,2,3,M \ H,52,46,55,52,80,78,"185cm | 6'1""
                                                                              High & Average  (80kg)",15,363,1706
Hugo Mallo Novegil,78,RB,Non-Rare,700,3,3,H \ M,67,39,69,70,75,74,"173cm | 5'8""
                                                                              Average  (69kg)",6,394,1864
Callum Wilson,78,ST,Rare,1.2K,4,3,H \ M,82,77,65,76,39,74,"180cm | 5'11""
                                                                              Average  (66kg)",104,413,1945
Nicolás Lodeiro,78,CAM,Rare,950,4,4,H \ M,71,72,80,81,49,71,"170cm | 5'7""
                                                                              Short & Lean-  (69kg)",37,424,2059
Sérgio Miguel Relvas de Oliveira,78,CM,Non-Rare,750,3,3,M \ H,58,77,82,75,66,68,"181cm | 5'11""
                                                                              Average  (78kg)",84,426,2093
Patrick Herrmann,78,RW,Non-Rare,1K,3,2,M \ H,73,75,75,78,33,61,"179cm | 5'10""
                                                                              Lean  (70kg)",40,395,1921
Josuha Guilavogui,78,CDM,Rare,1K,2,3,M \ H,69,59,66,65,81,78,"188cm | 6'2""
                                                                              High & Average  (77kg)",55,418,1960
Nathan Redmond,78,LM,Non-Rare,700,4,3,H \ M,84,72,72,81,30,52,"173cm | 5'8""
                                                                              Lean  (69kg)",41,391,1841
Kévin Malcuit,78,RB,Rare,2.5K,3,3,H \ M,81,63,73,77,74,71,"178cm | 5'10""
                                                                              Average  (77kg)",181,439,2032
Domagoj Vida,78,CB,Non-Rare,950,2,3,M \ H,73,40,58,60,81,79,"184cm | 6'0""
                                                                              Lean  (76kg)",32,391,1826
Nicolas Pallois,78,CB,Non-Rare,1.1K,2,2,M \ H,44,53,60,58,79,84,"189cm | 6'2""
                                                                              High & Average  (89kg)",16,378,1777
Lewis Dunk,78,CB,Non-Rare,650,2,3,M \ H,51,49,62,64,79,78,"192cm | 6'4""
                                                                              High & Average  (88kg)",25,383,1793
Hans Vanaken,78,CAM,Rare,950,4,5,H \ H,46,78,80,76,60,74,"195cm | 6'5""
                                                                              High & Average+  (80kg)",50,414,2029
Cristian Tello Herrera,78,LM,Rare,1K,4,4,M \ M,89,71,74,79,48,61,"178cm | 5'10""
                                                                              Lean  (65kg)",61,422,1995
Nacer Chadli,78,LW,Non-Rare,0,4,4,M \ M,76,76,76,79,56,77,"187cm | 6'2""
                                                                              High & Average  (85kg)",3,440,2089
Djibril Sidibé,78,RB,Non-Rare,650,3,4,H \ M,76,62,75,75,74,78,"182cm | 6'0""
                                                                              Average  (71kg)",19,440,2079
